Net,Layer policy,Unique endpoints,MST edges,New vias,A* visited nodes,Status
BAT_SYS,F.Cu/In2.Cu,14,13,14,0,PASS (explicit current tree)
PN_VMID,F.Cu,2,1,143,4,PASS
PN_TX1,F.Cu,2,1,143,451,PASS
PN_TX2,F.Cu,2,1,143,855,PASS
PN_RXN,F.Cu,2,1,143,1322,PASS
PN_RXP,F.Cu,2,1,143,5620,PASS
RF_N0,F.Cu,5,4,143,1880,PASS
RF_N1,F.Cu,5,4,143,512,PASS
RF_P0,F.Cu,5,4,143,2506,PASS
RF_P1,F.Cu,5,4,143,840,PASS
ANT_P,F.Cu,2,1,143,87,PASS
RF_N2,F.Cu,3,2,143,2116,PASS
RF_P2,F.Cu,3,2,143,1861,PASS
ANT_N,F.Cu,2,1,143,87,PASS
EXT_ANT_N,F.Cu,2,1,143,1203,PASS
EXT_ANT_P,F.Cu,2,1,143,449,PASS
RXN_AC,F.Cu,2,1,143,2,PASS
RXP_AC,F.Cu,2,1,143,2,PASS
XTAL1,F.Cu,3,2,143,1418,PASS
XTAL2,F.Cu,3,2,143,9628,PASS
SERVO_PWM,F.Cu,2,1,143,146413,PASS
SERVO_6V,F.Cu,7,6,141,15792,PASS
SERVO_6V_OUT,F.Cu,3,2,141,73475,PASS
SW_SERVO,F.Cu,3,2,141,249,PASS
BAT_FUSED,F.Cu,6,5,141,1280,PASS
BAT_RAW,F.Cu,2,1,141,4152,PASS
SW_5V,F.Cu,3,2,141,886,PASS
SW_3V3,F.Cu,3,2,141,2089,PASS
BST_3V3,F.Cu,2,1,141,142,PASS
BST_5V,F.Cu,2,1,141,597,PASS
BST_SERVO,F.Cu,2,1,141,2386,PASS
5V_BAT,B.Cu/In2.Cu,6,5,141,226216,PASS
3V3,F.Cu,12,11,138,90614,PASS
SYS_5V,F.Cu,9,8,147,330188,PASS
PN_VDD,F.Cu,6,5,146,12172,PASS
PN_TVDD,F.Cu,5,4,148,5524,PASS
USB_DN_CONN,F.Cu,5,4,145,5193,PASS
USB_DP_CONN,F.Cu,5,4,149,13776,PASS
USB_DM,F.Cu,2,1,150,61628,PASS
USB_DP,F.Cu,2,1,151,19199,PASS
PN_VEN,F.Cu,4,3,152,207400,PASS
SERVICE_BTN,F.Cu,3,2,153,117277,PASS
PN_DWL_REQ,F.Cu,3,2,157,114895,PASS
PN_IRQ,F.Cu,3,2,159,181239,PASS
BAT_ADC,F.Cu,2,1,159,13426,PASS
ESP_EN,F.Cu,2,1,160,8750,PASS
PN_MISO_IC,F.Cu,2,1,161,4124,PASS
PN_MOSI_IC,F.Cu,2,1,161,7651,PASS
PN_NSS_IC,F.Cu,2,1,161,8361,PASS
PN_SCK_IC,F.Cu,2,1,163,4556,PASS
STATUS_LED,F.Cu,2,1,163,14230,PASS
SERVO_FB,B.Cu/In2.Cu,4,3,163,14875,PASS
PMOS_GATE,F.Cu,3,2,163,10938,PASS
SERVO_EN_IC,F.Cu,3,2,165,6558,PASS
BOOT,F.Cu,3,2,169,13183,PASS
USB_5V,F.Cu,4,3,175,27747,PASS
PN_MISO,F.Cu,2,1,177,85181,PASS
PN_NSS,F.Cu,2,1,179,75952,PASS
PN_SCK,F.Cu,2,1,181,83702,PASS
SERVO_EN,F.Cu,2,1,184,73821,PASS
UART_RX,F.Cu,2,1,187,28875,PASS
UART_TX,F.Cu,2,1,191,74921,PASS
USB_CC1,F.Cu,2,1,191,2516,PASS
USB_CC2,F.Cu,2,1,191,17714,PASS
SERVO_PWM_OUT,B.Cu/In2.Cu,3,2,191,8624,PASS
LED_A,B.Cu/In2.Cu,2,1,189,673,PASS
PN_MOSI,F.Cu,2,1,191,107182,PASS
